id,name,slug,is_active,is_listed,is_redistributable,first_historical_data,last_historical_data
1431,KSwap,kswap-finance,1,0,0,2021-08-08T10:50:00.000Z,2023-11-08T04:00:00.000Z
1433,CherrySwap,cherryswap,1,0,0,2021-08-08T09:55:00.000Z,2023-11-08T04:00:00.000Z
1440,WaultSwap (Polygon),waultswap-polygon,1,0,1,2021-08-19T07:35:00.000Z,2023-11-08T04:00:00.000Z
1441,OpenLeverage,openleverage,1,0,0,2022-08-08T07:55:00.000Z,2023-11-08T04:00:00.000Z
1444,PolyDEX,polydex,1,0,0,2021-08-31T13:35:00.000Z,2023-11-08T04:00:00.000Z
1445,Biswap v2,biswap,1,0,1,2021-09-09T07:30:00.000Z,2023-11-08T04:00:00.000Z
1447,Osmosis,osmosis,1,0,1,2021-09-29T18:00:00.000Z,2023-11-08T04:00:00.000Z
1452,ApolloX,apollox,1,0,1,2021-08-31T13:35:00.000Z,2023-11-08T04:00:00.000Z
1453,YetiSwap,yetiswap,1,0,1,2021-08-31T13:40:00.000Z,2023-11-08T04:00:00.000Z
1454,Kava Swap,kava-swap,1,0,0,2021-11-02T19:50:00.000Z,2023-11-08T04:00:00.000Z
1455,SpookySwap,spookyswap,1,0,1,2021-08-31T13:35:00.000Z,2023-11-08T04:05:00.000Z
1456,Trader Joe (Avalanche),traderjoe,1,0,0,2021-08-31T13:40:00.000Z,2023-11-08T04:00:00.000Z
1457,Jetswap (BSC),jetswap,1,0,0,2021-09-16T16:30:00.000Z,2023-11-08T04:00:00.000Z
1458,DogeSwap,dogeswap,1,0,1,2022-08-18T08:30:00.000Z,2023-11-08T04:00:00.000Z
1461,Gravity Finance,gravity-finance,0,0,0,2023-11-08T04:01:26.973Z,2023-11-08T04:01:26.972Z
1462,Clipper (Ethereum),clipper,1,0,0,2021-09-11T16:35:00.000Z,2023-11-08T04:05:00.000Z
1463,Jetswap (Polygon),jetswap-polygon,1,0,0,2021-09-12T16:40:00.000Z,2023-11-08T04:05:00.000Z
1464,SushiSwap (Arbitrum),sushiswap-arbitrum,1,0,1,2021-09-12T13:05:00.000Z,2023-11-08T04:00:00.000Z
1466,ApeSwap (Polygon),apeswap-finance-polygon,1,0,0,2021-11-03T04:40:00.000Z,2023-11-08T04:00:00.000Z
1469,DODO (Polygon),dodo-polygon,1,0,0,2021-11-25T19:45:00.000Z,2023-11-08T04:05:00.000Z
1473,Symmetric(XDAI),symmetric,1,0,0,2022-04-21T13:35:00.000Z,2023-11-08T04:05:00.000Z
1476,Jswap Finance,jswap-finance,1,0,0,2021-09-23T09:40:00.000Z,2023-11-08T04:05:00.000Z
1477,SushiSwap (Harmony),sushiswap-harmony,1,0,0,2021-11-23T19:40:00.000Z,2023-11-08T04:00:00.000Z
1478,Uniswap v3 (Arbitrum),uniswap-v3-arbitrum,1,0,0,2022-01-10T13:35:00.000Z,2023-11-08T04:05:00.000Z
1479,KyberSwap Classic (Polygon),kyberswap-classic-polygon,1,0,0,2021-09-29T10:40:00.000Z,2023-11-08T04:05:00.000Z
1480,KyberSwap Classic (BSC),kyberswap-classic-bsc,1,0,0,2021-09-29T10:40:00.000Z,2023-11-08T04:05:00.000Z
1481,KyberSwap Classic (Avalanche),kyberswap-classic-avalanche,1,0,0,2021-09-29T10:40:00.000Z,2023-11-08T04:05:00.000Z
1482,Solarbeam,solarbeam,1,0,1,2021-10-21T13:40:00.000Z,2023-11-08T04:05:00.000Z
1483,AutoShark Finance,autoshark-finance,1,0,0,2021-12-13T14:40:00.000Z,2023-11-08T04:05:00.000Z
1484,DODO (Arbitrum),dodo-arbitrum,1,0,0,2021-10-20T16:50:00.000Z,2023-11-08T04:05:00.000Z
1486,KAIDEX,kaidex,1,0,0,2021-11-16T05:25:00.000Z,2023-11-08T04:05:00.000Z
1487,Orion BSC,orion-protocol,1,0,0,2022-04-06T01:40:00.000Z,2023-11-08T04:05:00.000Z
1489,Planet Finance,planet-finance,1,0,0,2021-12-08T07:45:00.000Z,2023-11-08T04:05:00.000Z
1490,PlasmaSwap (BSC),plasmaswap-bsc,1,0,0,2021-10-20T16:40:00.000Z,2023-11-08T04:05:00.000Z
1491,PlasmaSwap (Polygon),plasmaswap-polygon,1,0,1,2021-10-21T05:05:00.000Z,2023-11-08T04:05:00.000Z
1493,ZilSwap,zilswap,1,0,0,2021-10-25T07:50:00.000Z,2023-10-02T20:20:00.000Z
1495,DFX Finance (Polygon),dfx-finance-polygon,1,0,0,2022-05-05T13:30:00.000Z,2023-11-08T04:05:00.000Z
1496,Dinosaur Eggs,dinosaur-eggs,1,0,1,2021-10-20T16:35:00.000Z,2023-11-08T04:05:00.000Z
1499,Deri Protocol,deri-protocol,1,0,0,2021-10-27T06:55:00.000Z,2023-11-08T04:05:00.000Z
1503,Huckleberry,huckleberry,1,0,0,2022-01-27T07:20:00.000Z,2023-11-08T04:05:00.000Z
1504,SynFutures,synfutures,1,0,0,2023-06-28T06:40:00.000Z,2023-11-08T04:05:00.000Z
1505,DeFi Kingdoms,defi-kingdoms,1,0,1,2022-03-17T07:50:00.000Z,2023-11-08T04:05:00.000Z
1510,Ref Finance,ref-finance,1,0,1,2021-11-25T13:20:00.000Z,2023-11-08T04:05:00.000Z
1513,Elk Finance (Avalanche),elk-finance,1,0,0,2021-12-02T08:40:00.000Z,2023-11-08T04:05:00.000Z
1514,QuipuSwap,quipuswap,1,0,0,2022-08-17T07:20:00.000Z,2023-11-08T04:05:00.000Z
1515,Wagyuswap,wagyuswap,1,0,0,2021-11-13T14:10:00.000Z,2023-11-08T04:05:00.000Z
1517,SoulSwap,soulswap,1,0,1,2022-09-20T18:30:00.000Z,2023-11-08T04:05:00.000Z
1521,MojitoSwap,mojitoswap,1,0,0,2021-12-07T09:05:00.000Z,2023-11-08T04:05:00.000Z
1522,DFX Finance (Ethereum),dfx-finance,1,0,0,2021-11-10T06:25:00.000Z,2023-11-08T04:05:00.000Z
1524,Bitcoin.me,klever-exchange,1,0,1,2022-06-09T14:25:00.000Z,2023-11-08T04:05:00.000Z
1526,Elk Finance (Polygon),elk-finance-polygon,1,0,0,2021-11-29T10:45:00.000Z,2023-11-08T04:05:00.000Z
1527,Elk Finance (BSC),elk-finance-bsc,1,0,0,2021-12-02T08:50:00.000Z,2023-11-08T04:05:00.000Z
1528,MakiSwap,makiswap,1,0,0,2022-04-07T04:30:00.000Z,2023-11-08T04:05:00.000Z
1529,CRODEX,crodex,1,0,0,2021-11-22T08:35:00.000Z,2023-11-08T04:05:00.000Z
1530,VVS Finance,vvs-finance,1,0,1,2021-11-21T14:00:00.000Z,2023-11-08T04:05:00.000Z
1531,NexDAX,nexdax,1,0,1,2023-07-25T08:40:00.000Z,2023-11-08T04:05:00.000Z
